Disease,Synonyms used,Database,Zoonotic metric,Search terms,Total returns,Titles evaluated,Titles sought for retrieval,Total number of articles for each disease,New studies found,Duplicates,Total number for study ,Dates searched
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",Scholar,Abundance,(alveolar echinococcosis OR hantid* OR cystic echinococcosis) AND (climat*) AND (Abundance*),925,50,16,16,16,0,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",PubMed,Abundance,((((Alveolar echinococcosis) OR (Hydatid*)) OR (Cystic echinococcosis)) AND (Climat*)) AND (Abundance),2,2,2,17,1,1,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",Scholar,Seroprevalence,(alveolar echinococcosis OR hantid* OR cystic echinococcosis) AND (climat*) AND (Seroprevalence,1650,50,11,22,5,6,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",PubMed,Seroprevalence,((((Alveolar echinococcosis) AND (Hantid*) OR (Cystic echinococcosis)) ) AND (Climat*)) AND (Seroprevalence,2,2,2,24,2,0,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",Scholar,Cases Or Incidence,(alveolar echinococcosis OR hantid* OR cystic echinococcosis) AND (climat*) AND (Cases OR Incidence) ,1990,50,12,24,0,12,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",PubMed,Cases Or Incidence,((((Alveolar echinococcosis) AND (Hantid disease) OR (Cystic echinococcosis)) ) AND (Climat*)) AND ((cases) OR (incidence)),58,50,8,28,4,4,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",Scholar,Every metric,(alveolar echinococcosis OR hantid* OR cystic echinococcosis) AND (climat*) AND (Abundance OR Seroprevalence OR Cases OR Incidence) ,2060,50,7,30,2,5,,11/15/22
Alveolar echinococcosis,"Hantid*, cystic echinococcosis",PubMed,Every metric,((((Alveolar echinococcosis) AND (Hantid disease) OR (Cystic echinococcosis)) ) AND (Climat*)) AND ((cases) OR (incidence) OR (abundance) OR (Seroprevalence)),58,50,10,31,1,9,31,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",Scholar,Abundance,(Leptospirosis OR weil's disease OR canicola fever) AND (climat*) AND (Abundance),4830,50,9,9,9,0,,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",PubMed,Abundance,((((Leptospirosis) OR (Weil's*)) OR (Canicola fever)) AND (Climat*)) AND (Abundance),13,13,5,13,4,1,,11/15/22
Leptospirosis,"Weil's disease*, canicola fever",Scholar,Seroprevalence,(Leptospirosis OR weil's disease OR canicola fever) AND (climat*) AND (Seroprevalence),8290,50,15,28,15,0,,11/15/22
