DOI,Response,Specific,Reponse2,
10.1111/zph.12044,Abudance,Host number,Host abundance,
https://doi.org/10.1016/j.scitotenv.2019.135491,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0009685.g006,Incidence,Incidence,Human disease incidence,
10.1186/1471-2458-13-347,Cases,Monthly cases,Human disease incidence,
10.1371/journal.pntd.0002615,Cases,Cases,Human disease incidence,
https://doi.org/10.1007/s12639-020-01260-2,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1186/s12917-018-1588-8,Incidence,mortality,Human disease incidence,
https://doi.org/10.1371/journal.pntd.0009498,Incidence,Incidence,Human disease incidence,
10.4269/ajtmh.12-0474,Cases,Monthly cases,Human disease incidence,
10.4269/ajtmh.12-0473,Cases,Monthly cases,Human disease incidence,
10.1007/s10393-013-0849-z,Cases,Cases,Human disease incidence,
10.1371/journal.pntd.0002260,Cases,Cases,Human disease incidence,
10.1186/s13567-016-0308-2,Seroprevalence,Prevalence in host,Host infection,
10.1371/journal.pntd.0004632,Abudance,Host number,Host abundance,
10.1086/659632,Seroprevalence,Prevalence in host,Host infection,
10.1371/journal.pntd.0003530,Cases,Cases,Human disease incidence,
"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",Seroprevalence,Infection intensity,Host infection,
"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",Abundance,Prevalence,Host infection,
"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",Abundance,Prevalence of host,Host abundance,
https://doi.org/10.3390/v14051100,Incidence,Spillover event,Human outbreak occurrence,
https://doi.org/10.1007/s13280-021-01594-y,Seroprevalence,Prevalence in host,Host infection,
10.3389/fvets.2021.730424,Abudance,Abundance of host,Host abundance,
10.3389/fvets.2021.730424,Abundance,Abundance of host,Host abundance,
https://doi.org/10.1038/s41598-019-43353-w,Cases,Hospitilisation records,Human disease incidence,
http://dx.doi.org/10.1098/rspb.2020.0538,Cases,Outbreak magnitude,Human disease incidence,
10.1111/gcb.16395,Cases,Cases,Human case locations,individual points per case
https://doi.org/10.1016/j.jiph.2019.11.011,Incidence,Cases,Human disease incidence,
10.4269/ajtmh.2012.11-0569,Cases,Cases,Human case locations,
10.1289/ehp.0901504,Cases,Cases,Human disease incidence,
10.1089/153036603768395807,Incidence,Monthly Incidence,Human disease incidence,
https://doi.org/10.1016/j.envres.2019.06.004,Incidence,Cases,Human disease incidence,
10.1371/journal.pone.0083484,Incidence,Incidence,Human disease incidence,
10.3201/eid1603.081364,Cases,Cases,Human case locations,
https://doi.org/10.24321/0019.5138.201729,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1093/ije/31.1.189,Incidence,Annual Incidence,Human disease incidence,
10.1007/s00436-008-1061-x,Incidence,Cases,Human disease incidence,
10.3855/jidc.4020,Incidence,Cases,Human disease incidence,
https://doi.org/10.1016/j.scitotenv.2018.04.407,Cases,Cases,Human case locations,
10.9734/IJTDH/2021/v42i2330562,Cases,Occurrence,Human disease incidence,
10.1590/0102-311XER118417,Incidence,Incidence,Human disease incidence,
https://doi.org/10.1016/j.onehlt.2022.100449,Cases,Cases,Human disease incidence,
10.4081/gh.2016.377,Cases,Cases,Human outbreak occurrence,
https://doi.org/10.1371/journal.pntd.0010464,Abundance,Prevalence in host,Host infection,
https://doi.org/10.1186/s12889-020-08599-4,Incidence,Monthly Incidence,Human disease incidence,
10.1017/S095026881600203X,Cases,Weekly cases,Human disease incidence,
http://dx.doi.org/10.1097/MD.0000000000014640,Cases,Cases,Human disease incidence,
https://doi.org/10.1016/j.micpath.2019.103858,Incidence,Incidence,Human disease incidence,
