Reference_ID,row_unique,Data_ID,Environmental_condition,General_response,Response,Specific_response,Environmental_metric,General_Disease,Disease,Pathogen,Transmission,Transmission_type,Pathogen_genus,vector,Principal_reservoir,Specific_scale,General_Stats_Method,Statistical_method,N.value,temp_altered,Type,Linear_Nonlinear,R.squared,Value,Lower,Upper,Error,Std._error,P.value_general,P.value_specific,Direction,Direction_statement,DOI,Continent,Country,Location,Latitude_,Longitude,Study_period,Date_published,Dummy,lag_period_months,Notes,Journal,Journal_5yr_Impact,measure,n_method,X,Y,es,se,weight,sample.size,var,ci.lo,ci.hi
21,R40,X87,Precipitation,Host infection,Seroprevalence,Prevalence in host,Annual total,Hantaviral diseases,Sin Nombre Virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,10,GL(M)M,Linear regression,4626,NA,Unstandardised coefficient,Linear,0.79,0.00036,0.00029,0.00043,Std. error,0.007,<0.01,2.00E-03,increase,Abstract,10.1086/659632,North America,USA,Califronian channel islands,34.00966663,-119.8023301,1994,2011,1,NA,N-value derived from the fact datasets from 8 islands were used and no individual case number is cited,The American Naturalist,3.33,g,106,-119.8023301,34.00966663,0.00151236,0.029410183,NA,4626,0.000864959,-0.056131598,0.059156318
259,R725,X976,Precipitation,Human disease incidence,Incidence,Cases per 100k,Annual SPI previous year (12-month SPI 2001),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Pearson correlation,619,0,Correlation coefficient,Linear,NA,0.29,NA,NA,NA,NA,<0.001,<0.0001,increase,Results; Table 1,10.1089/vbz.2006.0590,North America,United States,Overall,39.83,-98.58,2002,2007,1,12,SPI = Standardized Precipitation Index; previous year annual SPI used; N.value = 619 counties with â¥1 case; controlled for spatial autocorrelation via partial Mantel; coords are national centroid,Vector-Borne and Zoonotic Diseases,NA,new,NA,NA,NA,0.605306752,0.08409829,NA,619,0.007072522,0.440474104,0.7701394
259,R726,X977,Precipitation,Human disease incidence,Incidence,Cases per 100k,Annual SPI concurrent year (12-month SPI 2002),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Pearson correlation,619,0,Correlation coefficient,Linear,NA,-0.21,NA,NA,NA,NA,<0.001,<0.0001,decrease,Results; Table 1,10.1089/vbz.2006.0590,North America,United States,Overall,39.83,-98.58,2002,2007,1,0,Concurrent year SPI; N.value = 619; log-transformed IR,Vector-Borne and Zoonotic Diseases,NA,new,NA,NA,NA,-0.429056626,0.082319924,NA,619,0.00677657,-0.590403678,-0.267709575
259,R727,X978,Precipitation,Human disease incidence,Incidence,Cases per 100k,Annual SPI previous year (2002 SPI),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Pearson correlation,941,0,Correlation coefficient,Linear,NA,-0.48,NA,NA,NA,NA,<0.001,<0.0001,decrease,Results; Table 1,10.1089/vbz.2006.0590,North America,United States,Overall,39.83,-98.58,2003,2007,1,12,N.value = 941 counties with â¥1 case in 2003; previous year SPI is 2002 SPI; log-transformed IR; Mantel test used to control spatial autocorrelation,Vector-Borne and Zoonotic Diseases,NA,new,NA,NA,NA,-1.093431527,0.07437876,NA,941,0.0055322,-1.239213897,-0.947649157
259,R728,X979,Precipitation,Human disease incidence,Incidence,Cases per 100k,Annual SPI concurrent year (2003 SPI),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Pearson correlation,941,0,Correlation coefficient,Linear,NA,-0.4,NA,NA,NA,NA,<0.001,<0.0001,decrease,Results; Table 1,10.1089/vbz.2006.0590,North America,United States,Overall,39.83,-98.58,2003,2007,1,0,Concurrent year SPI; Mantel p reported as 1.0 indicating non-significance after spatial correction in some comparisons; see Notes,Vector-Borne and Zoonotic Diseases,NA,new,NA,NA,NA,-0.872174194,0.071193742,NA,941,0.005068549,-1.011713928,-0.732634459
63,R130,X245,Temperature,Host infection,Incidence,Host prevalence,Seasonal mean,Hantaviral diseases,Puumala virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Logistic regression,490,NA,Unstandardised coefficient,Linear,NA,-0.635,-0.833,-0.437,Std. error,0.198,<0.001,NA,decrease,Discussion,10.1089/vbz.2007.0160,Europe,Belgium,Flanders,51.061018,4.26965,2004,2008,1,NA,"Can't access, Summer",Mary Ann Liebert: vector-borne and zoonotic diseases,2.2,g,106,4.26965,51.061018,-0.289908069,0.091437917,NA,490,0.008360893,-0.469126387,-0.110689751
63,R129,X244,Temperature,Host infection,Incidence,Host prevalence,Seasonal mean,Hantaviral diseases,Puumala virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Logistic regression,490,NA,Unstandardised coefficient,Linear,NA,-0.217,-0.277,-0.157,Std. error,0.06,<0.01,3.00E-03,decrease,Discussion,10.1089/vbz.2007.0160,Europe,Belgium,Flanders,51.061018,4.26965,2004,2008,1,NA,"Can't access, Winter",Mary Ann Liebert: vector-borne and zoonotic diseases,2.2,g,106,4.26965,51.061018,-0.326934123,0.091694005,NA,490,0.008407791,-0.506654373,-0.147213873
63,R131,X246,Precipitation,Host infection,Incidence,Host prevalence,Seasonal total,Hantaviral diseases,Puumala virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Logistic regression,490,NA,Unstandardised coefficient,Linear,NA,0.019,0.013,0.025,Std. error,0.006,<0.001,NA,increase,Discussion,10.1089/vbz.2007.0160,Europe,Belgium,Flanders,51.061018,4.26965,2004,2008,1,NA,"Can't access, Spring",Mary Ann Liebert: vector-borne and zoonotic diseases,2.2,g,106,4.26965,51.061018,0.286255684,0.091414286,NA,490,0.008356572,0.107083684,0.465427684
68,R137,X257,Precipitation,Host abundance,Abundance,Host number,Seasonal total,Hantaviral diseases,Puumala virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Linear regression,17,NA,Unstandardised coefficient,Linear,NA,-0.3,NA,NA,NA,NA,>0.05,NA,decrease,Discussion,10.1186/1476-072X-6-55,Europe,Belgium,NA,NA,NA,2004,2007,1,12,"N-value is number of years of study, previous winter",Epidemiology and Infection,2.306,NA,64,4.4699,50.5039,NA,NA,NA,17,NA,NA,NA
68,R135,X255,Temperature,Host infection,Seroprevalence,Virus prevalence,Seasonal maximum,Hantaviral diseases,Puumala virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Logistic regression,17,NA,Unstandardised coefficient,Linear,NA,-0.22,NA,NA,NA,NA,<0.001,NA,decrease,Discussion,10.1186/1476-072X-6-55,Europe,Belgium,NA,NA,NA,2004,2007,1,12,"N-value is number of years of study, previous winter",Epidemiology and Infection,2.306,NA,64,4.4699,50.5039,-1.996226214,0.73622984,NA,17,0.542034378,-3.439236701,-0.553215726
