Response,Specific,Disease,P_V_B,Taxa_genus,Include,reason,type,vector,Environmental_condition,Specific_metric,Specific_scale,Statistical_method,N-value,temp_altered,Type,Linear_Nonlinear,R-squared,Value,Lower,Upper,Error,Std._error,P-value_general,P-value_specific,Direction,Direction_statement,DOI,Reference_ID,Data_ID,Continent,Country,Location,Latitude_,Longitude,Study_period,Date_published,Dummy,lag_period_months,Notes,Journal,Journal_5yr_Impact
Abudance,Host number,Rabies,V,Lyssavirus,Y,,HH,,Precipitation,total,10,Poisson regression,360,,Correlation coefficient,Linear,,-0.08,-0.13,-0.04,95% Confidence,,<0.05,0.02,decrease,Abstract,10.1111/zph.12044,2,X4,North America,USA,Alaska,66.160507,-153.369141,1980-2010,2013,1,2,N-value is number of months of study,Zoonoses and Public Health,2.659
Abudance,Host number,Rabies,V,Lyssavirus,Y,,HH,,Temperature,mean,1,Poisson regression,360,,Correlation coefficient,Linear,,-0.1,-0.13,-0.06,95% Confidence,,<0.01,,decrease,Abstract,10.1111/zph.12044,2,X3,North America,USA,Alaska,66.160507,-153.369141,1980-2010,2013,1,1,N-value is number of months of study,Zoonoses and Public Health,2.659
Incidence,Incidence,Brucellosis,B,Brucella,Y,,HH,,Temperature,Monthly mean,1,Spearman rank correlation,39854,,Correlation coefficient,Linear,,0.27,,,,,<0.01,,increase,Abstract,https://doi.org/10.1016/j.scitotenv.2019.135491,126,X476,Asia,China,Hebei province,39.074094,115.983687,2004-2015,2020,1,,"Can't access, Incidence of population was calculated as a value for 10^5",Science of The Total Environment,8.01
Incidence,Incidence,Brucellosis,B,Brucella,Y,,HH,,Temperature,Monthly mean,1,Seasonal autoregressive integrated moving average models,39854,,Beta coefficient,Linear,0.643,-0.003,,,,,<0.05,0.035,decrease,Abstract,https://doi.org/10.1016/j.scitotenv.2019.135491,126,X475,Asia,China,Hebei province,39.074094,115.983687,2004-2015,2020,1,2,"Can't access, Incidence of population was calculated as a value for 10^5",Science of The Total Environment,8.01
Incidence,Incidence,Brucellosis,B,Brucella,Y,,HH,,Humidity,Monthly relative,1,Seasonal autoregressive integrated moving average models,39854,,Beta coefficient,Linear,0.64,-0.01,,,,,<0.05,0.022,decrease,Abstract,https://doi.org/10.1016/j.scitotenv.2019.135491,126,X477,Asia,China,Hebei province,39.074094,115.983687,2004-2015,2020,1,2,"Can't access, Incidence of population was calculated as a value for 10^5",Science of The Total Environment,8.01
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,mean,1,Regression analysis,168,,Beta coefficient,Linear,,0.094,0.046,0.142,Std. error,0.048,>0.05,0.051,increase,Abstract,https://doi.org/10.1371/journal.pntd.0009685.g006,5,X11,Asia,Laos,Vientiane,17.974855,102.630867,2003-2017,2021,1,,"N-value is number of months of study, smaller dataset used because environmental metrics directly correlated to sample",PLOS neglected tropical diseases,4.548
Incidence,Incidence,Murine typhus,B,Rickettsia,Y,,HVH,F,Temperature,mean,1,Regression analysis,168,,Beta coefficient,Linear,,0.084,0.055,0.113,Std. error,0.029,<0.01,0.004,increase,Abstract,https://doi.org/10.1371/journal.pntd.0009685.g006,5,X14,Asia,Laos,Vientiane,17.974855,102.630867,2003-2017,2021,1,,"N-value is number of months of study, smaller dataset used because environmental metrics directly correlated to sample",PLOS neglected tropical diseases,4.548
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,total,1,Regression analysis,168,,Beta coefficient,Linear,,0.056,0.043,0.069,Std. error,0.013,<0.001,,increase,Abstract,https://doi.org/10.1371/journal.pntd.0009685.g006,5,X12,Asia,Laos,Vientiane,17.974855,102.630867,2003-2017,2021,1,,"N-value is number of months of study, smaller dataset used because environmental metrics directly correlated to sample",PLOS neglected tropical diseases,4.548
Incidence,Incidence,Murine typhus,B,Rickettsia,Y,,HVH,F,Precipitation,total,1,Regression analysis,168,,Beta coefficient,Linear,,0.003,0.003,0.003,Std. error,0,>0.05,0.495,increase,Abstract,https://doi.org/10.1371/journal.pntd.0009685.g006,5,X15,Asia,Laos,Vientiane,17.974855,102.630867,2003-2017,2021,1,,"N-value is number of months of study, smaller dataset used because environmental metrics directly correlated to sample",PLOS neglected tropical diseases,4.548
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,mean relative,1,Regression analysis,168,,Beta coefficient,Linear,,0.003,0.002,0.004,Std. error,0.001,<0.001,,increase,Abstract,https://doi.org/10.1371/journal.pntd.0009685.g006,5,X13,Asia,Laos,Vientiane,17.974855,102.630867,2003-2017,2021,1,,"N-value is number of months of study, smaller dataset used because environmental metrics directly correlated to sample",PLOS neglected tropical diseases,4.548
